レベル,都道府県名,市区町村名,大字・丁目名,小字・通称名,街区符号・地番,離島ID,行政区域コード,支庁・振興局名,郡・政令都市名,原典市区町村名,指定地域名,島名,住所
街区,長崎県,佐世保市,宇久町本飯良,,912,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良９１２
街区,長崎県,佐世保市,宇久町本飯良,,914,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良９１４
街区,長崎県,佐世保市,宇久町本飯良,,918,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良９１８
街区,長崎県,佐世保市,宇久町本飯良,,1051,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１０５１
街区,長崎県,佐世保市,宇久町本飯良,,1130,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１１３０
街区,長崎県,佐世保市,宇久町本飯良,,1025,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１０２５
街区,長崎県,佐世保市,宇久町本飯良,,1058,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１０５８
街区,長崎県,佐世保市,宇久町本飯良,,1059,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１０５９
街区,長崎県,佐世保市,宇久町本飯良,,1023,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１０２３
街区,長崎県,佐世保市,宇久町本飯良,,1024,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１０２４
街区,長崎県,佐世保市,宇久町本飯良,,1026,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１０２６
街区,長崎県,佐世保市,宇久町本飯良,,1040,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１０４０
街区,長崎県,佐世保市,宇久町本飯良,,1043,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１０４３
街区,長崎県,佐世保市,宇久町本飯良,,1085,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１０８５
街区,長崎県,佐世保市,宇久町飯良,,1167,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１１６７
街区,長崎県,佐世保市,宇久町飯良,,1171,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１１７１
街区,長崎県,佐世保市,宇久町飯良,,1172,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１１７２
街区,長崎県,佐世保市,宇久町飯良,,1173,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１１７３
街区,長崎県,佐世保市,宇久町飯良,,1174,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１１７４
街区,長崎県,佐世保市,宇久町本飯良,,1096,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１０９６
街区,長崎県,佐世保市,宇久町本飯良,,1097,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１０９７
街区,長崎県,佐世保市,宇久町本飯良,,1106,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１１０６
街区,長崎県,佐世保市,宇久町本飯良,,1107,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１１０７
街区,長崎県,佐世保市,宇久町本飯良,,1108,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１１０８
街区,長崎県,佐世保市,宇久町本飯良,,1065,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１０６５
街区,長崎県,佐世保市,宇久町本飯良,,1066,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１０６６
街区,長崎県,佐世保市,宇久町本飯良,,1094,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１０９４
街区,長崎県,佐世保市,宇久町本飯良,,1101,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１１０１
街区,長崎県,佐世保市,宇久町飯良,,1211,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１２１１
街区,長崎県,佐世保市,宇久町飯良,,1213,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１２１３
街区,長崎県,佐世保市,宇久町飯良,,1215,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１２１５
街区,長崎県,佐世保市,宇久町本飯良,,1015,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１０１５
街区,長崎県,佐世保市,宇久町本飯良,,1016,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１０１６
街区,長崎県,佐世保市,宇久町本飯良,,1081,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１０８１
街区,長崎県,佐世保市,宇久町飯良,,1100,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１１００
街区,長崎県,佐世保市,宇久町飯良,,1107,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１１０７
街区,長崎県,佐世保市,宇久町飯良,,1121,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１１２１
街区,長崎県,佐世保市,宇久町飯良,,1399,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１３９９
街区,長崎県,佐世保市,宇久町飯良,,1226,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１２２６
街区,長崎県,佐世保市,宇久町飯良,,1227,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１２２７
街区,長崎県,佐世保市,宇久町飯良,,1216,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１２１６
街区,長崎県,佐世保市,宇久町飯良,,1219,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１２１９
街区,長崎県,佐世保市,宇久町飯良,,1221,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１２２１
街区,長崎県,佐世保市,宇久町飯良,,1224,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１２２４
街区,長崎県,佐世保市,宇久町飯良,,1125,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１１２５
街区,長崎県,佐世保市,宇久町飯良,,1127,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１１２７
街区,長崎県,佐世保市,宇久町飯良,,1153,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１１５３
